"id","MeetingName","MeetingDate","Audience","Staff","Notes","Createdby"
1,"BAYBROOK VILLAGE COMMUNITY CENTER HEALTH FAIR",11/13/2004 0:00:00,7,"KETURAH CAMPBELL","THE HEALTH FAIR--HCPHES, HCHD, COMMUNITY HEALTH CHOICE, CHOLOSTEROL AND BLOOD SUGAR TESTING, WIC, AND TEXAS ONE STAR WERE ALL PRESENT.  I HAD FLYERS AND VISUAL AID BOARD AT A TABLE FOR ANYONE WHO WANTED INFORMATION ON WHAT ARE NAVIGATORS AND WHAT WE DO.  ALSO INFO. ABOUT AMERICORPS.",26
2,"WHY WE ALL NEED MEDICAL COVERAGE AND HOW TO GET IT",11/15/2004 0:00:00,10,"KETURAH CAMPBELL","WORKED WITH HCPHES IMMUNIZATION MOBILE TEAM AT DECKER WIC CENTER IN BAYTOWN.  IF NOT INSURED...MADE SURE THAT THEY HAD ACCESS TO MED. COVERAGE.  ",26
3,"AGA Khan Health Board- Children's Health Fair",11/21/2004 0:00:00,9,"KETURAH CAMPBELL","At this health fair, we were asked questions and answered questions about the avaliable health care coverage for children.  The health fair targeted audience were parents.  Also, we handed out applications to the various health plans avaliable for children.",26
6,"SENIOR HEALTH FAIR",12/3/2004 0:00:00,15,"KETURAH CAMPBELL","IT WAS A SENIOR HEALTH FAIR, THE TARGET AUDIENCE WAS SENIORS. I DID OUTREACH TO GET SENIORS IMMUNIZED.",26
7,"Northeast Health Clinic",12/7/2004 0:00:00,6,"6","HEB came out to our clinic to give flu shots to healthy people from the ages of 5-49, they just had to be healthy. The cost was $20.00 a person. Not that many people showed up liked we hoped or were expecting. They will be here again on Fri. Dec. 10, 2004. From 10:00-7:00 p.m. first come first serve basis.",41
10,"HIV World AIDS Day Health Fair",12/1/2004 0:00:00,100,"11 AmeriCorp Navigators","Start time at Health 11am to 4pm at Thomas Steet Clinic",37
11,"Monthly BBQ Harmony House",12/18/2004 0:00:00,150,"Jo Ann Haywood & Debra Moss","Prepared and served food at Harmony House to about 150 homeless men, women and children. Recurited 12 volunteers and donations from area grocery stores. Volunteers donated time, service and food.",37
12,"Church of Nations- Annual Outreach",12/18/2004 0:00:00,70,"Lillie Childs","This outreach was sponsored by the Church of the Nation. It was their annual outreach to the community. They provided help  by giving food, clothing, health, social and spiritual assistance. We were able to help 16 clients with information on Medicaid, food stamps, housing , employment and rent assistance. ",51
13,"LONNIE TALBOT",12/21/2004 0:00:00,0,"KETURAH CAMPBELL","CLIENT IS PATIENT WITH HCHD-- HEALTH HOME IS STRAWBERRY CLINIC.  B/C OF FINANCIAL SITUATION SHE CAN NOT AFFORD THE PRICE OF PREGANCY TEST AT HEALTH HOME SO REFERRED HER TO LA PORTE HEALTH CLINIC B/C PREGNANCY TEST IS CHEAPER.",26
14,"house visits",12/30/2004 0:00:00,0,"","did 2 house visits",40
15," out in field",12/20/2004 0:00:00,0,"","went to different places dropped off info about what services we offer.",40
16,"field",12/13/2004 0:00:00,0,"","went to different places telling them what type of services we offer.",40
17,"field",12/16/2004 0:00:00,0,"","went to different places telling them what type of services we offer",40
18,"aids",12/1/2004 0:00:00,100,"","health fair",40
19,"AmeriCorps",11/9/2004 0:00:00,8,"Tamiko Browne/Lillie Childs","The Principle of Draw Academy asked that we do an AmeriCorps Presentation for a group of college students to tell them about AmeriCorps & the Educational Award.",19
21,"Ben Taub OB Tour",12/15/2004 0:00:00,34,"Tamiko Browne","Took Pre-natal clients on a OB tour of Ben Taub. Clients were given information on their birthing process at the hospital.",19
22,"Enrollment Discount Drug Card",12/29/2004 0:00:00,22,"Barbara M. Prince & Debra Moss","Arrived at 8:30 at the church to set up; with an estimated of 30.Set up the area with form;power point persentation to give too audience and a few gift. There were only 22 show up. Enroll 8 up for the discount card service and were able to assistance some with other program and where they can get more information. Some was afraid to give out information because of being rip of. In all they were interest but just frighten on givivng out too much.I did a referral to the aging on a legal matter. ",21
23,"Health Care Services Informational",1/14/2005 0:00:00,18,"KETURAH CAMPBELL","At a local location in La Porte, the Health Educator and I set up a table and answered any questions or informed all people of the services and options offered by the county and any other agencies.",26
24,"Managing Caregiver Stress During the Holidays",11/9/2004 0:00:00,16,"Glenice Winn","Presentation was on how to survive the stress of the holidays, listing the cause of stress and some things to do to avoid or relieve stress.",22
